detector,cell,n,mean,median,flag_rate
deepset,A_mal_raw,35,0.9674,0.9989,0.2286
deepset,B_mal_imp,35,0.9989,0.9989,0.0
deepset,C_ben_raw,24,0.1678,0.0023,0.0
deepset,D_ben_imp,24,0.9989,0.9989,0.0417
deepset,E_empty_imp,1,0.9989,0.9989,0.0
protectai_v2,A_mal_raw,35,0.4308,0.0422,0.0286
protectai_v2,B_mal_imp,35,0.9585,0.9917,0.0286
protectai_v2,C_ben_raw,24,0.0,0.0,0.0
protectai_v2,D_ben_imp,24,0.9892,0.9909,0.0
protectai_v2,E_empty_imp,1,0.9955,0.9955,0.0
promptguard2_86m,A_mal_raw,35,0.0011,0.0007,0.0286
promptguard2_86m,B_mal_imp,35,0.0675,0.02,0.9429
promptguard2_86m,C_ben_raw,24,0.0004,0.0004,0.0
promptguard2_86m,D_ben_imp,24,0.0136,0.0129,0.9583
promptguard2_86m,E_empty_imp,1,0.122,0.122,1.0
promptguard2_22m,A_mal_raw,35,0.0025,0.0021,0.0
promptguard2_22m,B_mal_imp,35,0.0103,0.0086,0.0
promptguard2_22m,C_ben_raw,24,0.0012,0.0011,0.0
promptguard2_22m,D_ben_imp,24,0.0055,0.0055,0.0
promptguard2_22m,E_empty_imp,1,0.0055,0.0055,0.0
