detector,quantity,opis,tip,value,lo,hi,alpha_eff,significant
deepset,W_ben,omotac na bezopasnom (D-C),upareno,0.8311,0.6312,0.9889,0.0125,DA
deepset,W_mal,omotac na malicioznom (B-A),upareno,0.0315,0.0003,0.1002,0.0125,DA
deepset,D_raw,sadrzaj bez omotaca (A-C),NEUPARENO,0.7996,0.5903,0.9571,0.0125,DA
deepset,D_imp,sadrzaj u omotacu (B-D),NEUPARENO,-0.0,-0.0,0.0,0.0125,-
deepset,I,interakcija (W_mal-W_ben),neupareno,-0.7996,-0.9623,-0.5923,0.0125,DA
protectai_v2,W_ben,omotac na bezopasnom (D-C),upareno,0.9892,0.9861,0.9916,0.0125,DA
protectai_v2,W_mal,omotac na malicioznom (B-A),upareno,0.5277,0.3339,0.7201,0.0125,DA
protectai_v2,D_raw,sadrzaj bez omotaca (A-C),NEUPARENO,0.4308,0.2404,0.6331,0.0125,DA
protectai_v2,D_imp,sadrzaj u omotacu (B-D),NEUPARENO,-0.0307,-0.1086,0.0042,0.0125,-
protectai_v2,I,interakcija (W_mal-W_ben),neupareno,-0.4615,-0.6506,-0.266,0.0125,DA
promptguard2_86m,W_ben,omotac na bezopasnom (D-C),upareno,0.0132,0.0104,0.0163,0.0125,DA
promptguard2_86m,W_mal,omotac na malicioznom (B-A),upareno,0.0664,0.0239,0.1455,0.0125,DA
promptguard2_86m,D_raw,sadrzaj bez omotaca (A-C),NEUPARENO,0.0007,0.0003,0.0015,0.0125,DA
promptguard2_86m,D_imp,sadrzaj u omotacu (B-D),NEUPARENO,0.054,0.0106,0.1293,0.0125,DA
promptguard2_86m,I,interakcija (W_mal-W_ben),neupareno,0.0533,0.0112,0.129,0.0125,DA
promptguard2_22m,W_ben,omotac na bezopasnom (D-C),upareno,0.0043,0.004,0.0046,0.0125,DA
promptguard2_22m,W_mal,omotac na malicioznom (B-A),upareno,0.0077,0.0062,0.0099,0.0125,DA
promptguard2_22m,D_raw,sadrzaj bez omotaca (A-C),NEUPARENO,0.0013,0.0006,0.0023,0.0125,DA
promptguard2_22m,D_imp,sadrzaj u omotacu (B-D),NEUPARENO,0.0047,0.0026,0.0076,0.0125,DA
promptguard2_22m,I,interakcija (W_mal-W_ben),neupareno,0.0034,0.0019,0.0055,0.0125,DA
