detector,kind,rule,n_docs,mean_windows,rate
deepset,carrier_1000,max,40,1.0,0.0
deepset,carrier_1000,top2_mean,40,1.0,0.0
deepset,carrier_1000,count>=2,40,1.0,0.0
deepset,carrier_1000,count>=3,40,1.0,0.0
deepset,carrier_16000,max,40,26.0,0.15
deepset,carrier_16000,top2_mean,40,26.0,0.025
deepset,carrier_16000,count>=2,40,26.0,0.025
deepset,carrier_16000,count>=3,40,26.0,0.0
deepset,carrier_2000,max,40,3.0,0.0
deepset,carrier_2000,top2_mean,40,3.0,0.0
deepset,carrier_2000,count>=2,40,3.0,0.0
deepset,carrier_2000,count>=3,40,3.0,0.0
deepset,carrier_4000,max,40,6.0,0.05
deepset,carrier_4000,top2_mean,40,6.0,0.0
deepset,carrier_4000,count>=2,40,6.0,0.0
deepset,carrier_4000,count>=3,40,6.0,0.0
deepset,carrier_500,max,40,1.0,0.05
deepset,carrier_500,top2_mean,40,1.0,0.05
deepset,carrier_500,count>=2,40,1.0,0.0
deepset,carrier_500,count>=3,40,1.0,0.0
deepset,carrier_8000,max,40,13.0,0.075
deepset,carrier_8000,top2_mean,40,13.0,0.05
deepset,carrier_8000,count>=2,40,13.0,0.025
deepset,carrier_8000,count>=3,40,13.0,0.0
deepset,position_0,max,10,27.1,0.1
deepset,position_0,top2_mean,10,27.1,0.0
deepset,position_0,count>=2,10,27.1,0.0
deepset,position_0,count>=3,10,27.1,0.0
deepset,position_1000,max,10,27.1,0.2
deepset,position_1000,top2_mean,10,27.1,0.0
deepset,position_1000,count>=2,10,27.1,0.0
deepset,position_1000,count>=3,10,27.1,0.0
deepset,position_1500,max,10,27.1,0.3
deepset,position_1500,top2_mean,10,27.1,0.0
deepset,position_1500,count>=2,10,27.1,0.0
deepset,position_1500,count>=3,10,27.1,0.0
deepset,position_2000,max,10,27.1,0.3
deepset,position_2000,top2_mean,10,27.1,0.0
deepset,position_2000,count>=2,10,27.1,0.0
deepset,position_2000,count>=3,10,27.1,0.0
deepset,position_250,max,10,27.1,0.3
deepset,position_250,top2_mean,10,27.1,0.1
deepset,position_250,count>=2,10,27.1,0.0
deepset,position_250,count>=3,10,27.1,0.0
deepset,position_3000,max,10,27.1,0.3
deepset,position_3000,top2_mean,10,27.1,0.2
