detector,doc_chars,windows,fpr_naive,fpr_chunked
deepset,500,1.0,0.05,0.05
deepset,1000,1.0,0.0,0.0
deepset,2000,3.0,0.0,0.0
deepset,4000,6.0,0.0,0.05
deepset,8000,13.0,0.0,0.075
deepset,16000,26.0,0.0,0.15
promptguard2_86m,500,1.0,0.0,0.0
promptguard2_86m,1000,1.0,0.0,0.0
promptguard2_86m,2000,3.0,0.325,0.0
promptguard2_86m,4000,6.0,0.65,0.0
promptguard2_86m,8000,13.0,0.65,0.05
promptguard2_86m,16000,26.0,0.65,0.075
protectai_v2,500,1.0,0.0,0.0
protectai_v2,1000,1.0,0.0,0.0
protectai_v2,2000,3.0,0.0,0.0
protectai_v2,4000,6.0,0.0,0.0
protectai_v2,8000,13.0,0.0,0.0
protectai_v2,16000,26.0,0.0,0.0
