detector,set,mode,fpr_target,n_strings,n_clusters,thr,tpr,tpr_lo,tpr_hi,auc
deepset,agentdojo_imp,naive,0.01,35,35,0.998954,0.0,0.0,0.0,0.9642
deepset,agentdojo_raw,naive,0.01,35,35,0.998954,0.2,0.0571,0.3714,0.8561
deepset,ipi_arena,chunked,0.01,95,28,0.998954,0.2526,0.1294,0.381,0.9689
deepset,ipi_arena,naive,0.01,95,28,0.998954,0.1579,0.0659,0.2784,0.9566
deepset,ipi_arena,delta_chunked_minus_naive,0.01,95,28,0.998954,0.0947,0.02,0.1758,
deepset,agentdojo_imp,naive,0.05,35,35,0.99869,1.0,1.0,1.0,0.9642
deepset,agentdojo_raw,naive,0.05,35,35,0.99869,0.6857,0.4857,0.8857,0.8561
deepset,ipi_arena,chunked,0.05,95,28,0.99869,0.9158,0.8387,0.9717,0.9689
deepset,ipi_arena,naive,0.05,95,28,0.99869,0.7053,0.5625,0.8222,0.9566
deepset,ipi_arena,delta_chunked_minus_naive,0.05,95,28,0.99869,0.2105,0.0769,0.367,
promptguard2_86m,agentdojo_imp,naive,0.01,35,35,0.006012,0.9429,0.8286,1.0,0.9991
promptguard2_86m,agentdojo_raw,naive,0.01,35,35,0.006012,0.0286,0.0,0.1143,0.6006
promptguard2_86m,ipi_arena,chunked,0.01,95,28,0.006012,0.7789,0.6582,0.8854,0.9848
promptguard2_86m,ipi_arena,naive,0.01,95,28,0.006012,0.7684,0.6415,0.8776,0.9847
promptguard2_86m,ipi_arena,delta_chunked_minus_naive,0.01,95,28,0.006012,0.0105,0.0,0.0485,
promptguard2_86m,agentdojo_imp,naive,0.05,35,35,0.001708,1.0,1.0,1.0,0.9991
promptguard2_86m,agentdojo_raw,naive,0.05,35,35,0.001708,0.0857,0.0,0.2286,0.6006
promptguard2_86m,ipi_arena,chunked,0.05,95,28,0.001708,0.9474,0.881,0.991,0.9848
promptguard2_86m,ipi_arena,naive,0.05,95,28,0.001708,0.9474,0.881,0.991,0.9847
promptguard2_86m,ipi_arena,delta_chunked_minus_naive,0.05,95,28,0.001708,0.0,0.0,0.0,
protectai_v2,agentdojo_imp,naive,0.01,35,35,0.999998,0.0286,0.0,0.1143,0.9672
protectai_v2,agentdojo_raw,naive,0.01,35,35,0.999998,0.0286,0.0,0.1143,0.8154
protectai_v2,ipi_arena,chunked,0.01,95,28,0.999998,0.0737,0.0127,0.1489,0.918
protectai_v2,ipi_arena,naive,0.01,95,28,0.999998,0.0316,0.0,0.1042,0.8863
protectai_v2,ipi_arena,delta_chunked_minus_naive,0.01,95,28,0.999998,0.0421,0.0,0.0847,
protectai_v2,agentdojo_imp,naive,0.05,35,35,0.96236,0.8857,0.7429,1.0,0.9672
protectai_v2,agentdojo_raw,naive,0.05,35,35,0.96236,0.3429,0.1429,0.5429,0.8154
protectai_v2,ipi_arena,chunked,0.05,95,28,0.96236,0.5368,0.3548,0.6947,0.918
protectai_v2,ipi_arena,naive,0.05,95,28,0.96236,0.4316,0.2473,0.61,0.8863
protectai_v2,ipi_arena,delta_chunked_minus_naive,0.05,95,28,0.96236,0.1053,0.0215,0.2308,
